product_name,review
ThinkPad E480 i5 8250U 16GB 512GB /n Thinkpad L380 L480 T480 T490 E490,"seller responsif, packing aman, pengiriman cepat. fisik laptop muluuss. officenya sempat nggak bisa dipake tp dipandu sm seller via chat dan akhirnya aman semuanya. recom..."
ThinkPad T460s / Thinkpad T460s / thinkpad T460s / T460s,"seller responsif, packing aman, pengiriman cepat. fisik laptop muluuss. officenya sempat nggak bisa dipake tp dipandu sm seller via chat dan akhirnya aman semuanya. recom..."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,fisik masih oke banget semua berfungsi dengan normal.saler komunikatif
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"sedikit ulasan utk thinkpad t490 dri toko ini
# kmulusan body 85%
# keyboard,engsel,port aman
# layar dan touchscreen aman
# cek battery health pke cmd ga nemu filenya, a..."
ThinkPad T14 Gen 2 Intel / T14 Gen 1 / thinkpad T14 G1 G2 Intel / T14,"Tidak sesuai expetasi,,,
minta yang Ram 8GB malah dikasih 16GB🥰

sangat kereeeeeenn,

tdak minta touchscreen,di kasih touchscreen,,,

Unit sangat mulus,,semua normal,,
s..."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"sampai sekarang masih berfungsi normal tidak ada kendala kecuali saat di cas, saat laptop sedang di posisi cas menyala langsung touchscreen serta ghost touch dan cursor t..."
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,"Seller fast response, unit yang diterima mulus."
ThinkPad X380 X390 YOGA i7 8th / ThinkPad X390 X380 Yoga i5 8th / thinkpad X390 yoga X380 yoga / thinkpad yoga,"Barang diterima dengan baik. Semua berfungsi dengan normal. Seller nya respon baik, bahkan info kalo barang yg dipesan awalnya ada minus, jadi offer untuk pilih unit lain..."
Thinkpad T495 Ryzen 7 Pro 3700U 16GB 512GB VEGA 2GB / thinkpad t495,Barang mulus ga ada kendala
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Laptop ny seperti baru, hrg murah tp mantap"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Alhamdulillah Laptop nya sdh di terima dalam keadaan baik dan berfungsi, fisik laptop masih mulus walaupun second, packing sangat rapih dan aman.
seller responsif dan kom..."
Thinkpad T14 Gen 2 Ryzen / thinkpad T14 Gen 1 Ryzen / T14 G1 G2 / T14,"Dapat unit yg masih mulus + masih ada garansi sebulan. Semua sudah dicek dan bekerja dengan baik. Pelayanannya cepat, puas belanja di toko ini."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,mantab sesuai pesanan
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Admin responsive bggttt topp, 
Barang msh bagusss, semoga tdk ada kendala lancar trus ke dpn nya"
ThinkPad P15v Gen 2 G2 / ThinkPad P15v Gen 1 G1 / ThinkPad P15v,Mulus 97-98%. Bekerja dgn baik & sesuai spek
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"barangnya sudah datang, dan sesuai dengan deskripsi..
semoga awet"
ThinkPad L13 Gen 2 / Thinkpad L13 Gen 1 / thinkpad L13 G1 G2,"Barang oke, sesuai deskripsi"
ThinkPad X380 X390 YOGA i7 8th / ThinkPad X390 X380 Yoga i5 8th / thinkpad X390 yoga X380 yoga / thinkpad yoga,"Barang bagus mulus dan Oke, dan semua berfungsi normal. Packaging pengiriman aman. Seller komunikatif."
ThinkPad T14 Gen 2 Intel / T14 Gen 1 / thinkpad T14 G1 G2 Intel / T14,"Alhamdulillah aman lancar, dan sesuai ekspektasi. unitnya cakep elegan, walau seller agak slow respon tapi dijamin ini top quality 🙏"
ThinkPad X380 X390 YOGA i7 8th / ThinkPad X390 X380 Yoga i5 8th / thinkpad X390 yoga X380 yoga / thinkpad yoga,peacking rapi barang di terima dengan keadadan baik terimakasih
HP Elitebook 745 G6 Ryzen 5 Pro / HP elitebook 745 G5 Ryzen 5 Pro,recomended seller
Dell Latitude 7400 i5 8th 16GB 512GB / Dell latitude 7390 7490 7300,Diluar perkiraan saya ternyata luar biasa seken tapi rasa baru😊🙏🙏🙏🙏
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,recomend untuk belanja di toko iki
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"barabg sudah sampai, puas banget dari seller yang ramah sampe ke kondisi fisik laptop yang baik , sesuai spesifikasi, packing yang aman bubble wrap tebal, pokonya jangan..."
Thinkpad T495 Ryzen 7 Pro 3700U 16GB 512GB VEGA 2GB / thinkpad t495,sudah di test smua berfungsi normal..seller fast respon..smg awet ...thx
